0,1,2
指标名称,本月比上年同月增长（%）,累计比上年同期增长（%）
全省总计,-6.0,7.9
在总计中：,,
轻工业,-10.5,3.8
重工业,-4.0,9.9
在总计中：,,
国有控股企业,-4.1,5.6
在总计中：,,
集体企业,-9.9,-7.0
股份合作企业,-69.9,-60.0
股份制企业,-3.8,9.6
外商及港澳台投资企业,-11.0,4.1
在总计中：,,
大型企业,-5.4,6.1
中型企业,-10.0,8.8
小型企业,-4.5,10.0
微型企业,-2.9,10.5
